172.18.0.1 - - [03/Sep/2022:07:40:36 +0000] "GET / HTTP/1.1" 403 153 "-" "curl/7.64.0" "-"
85.93.41.221 - - [03/Sep/2022:08:58:50 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:08:59:06 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:03:26 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:03:26 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/test" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:11:10 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:11:11 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/test" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:11:13 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:11:13 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://tradesoft.ml/test" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:11:19 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
66.249.75.252 - - [03/Sep/2022:09:13:30 +0000] "GET /pred/591433774 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.101 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
85.93.41.221 - - [03/Sep/2022:09:41:49 +0000] "GET /test HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:42:32 +0000] "GET /test/asdf HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:43:35 +0000] "GET /test/asdf HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:09:43:44 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:15 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:16 +0000] "GET /favicon.ico HTTP/1.1" 404 270 "http://tradesoft.ml/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:24 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:24 +0000] "GET /favicon.ico HTTP/1.1" 404 270 "http://tradesoft.ml/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:30 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:18:30 +0000] "GET /favicon.ico HTTP/1.1" 404 270 "http://tradesoft.ga/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:19:17 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:19:21 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:21:08 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
85.93.41.221 - - [03/Sep/2022:10:21:21 +0000] "GET /asdgf HTTP/1.1" 404 270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "-"
